section,modality,replicate,ari,status,condition,method_label
151507,expr_panel_projected_bin250kb,3,0.5542495533949581,ok,correct_graph,"Projected
expression"
151507,expr_panel_projected_bin250kb,4,0.5307572811600081,ok,correct_graph,"Projected
expression"
151507,expr_panel_projected_bin250kb,0,0.2629873926198019,ok,feature_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,1,0.3182332202150473,ok,feature_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,2,0.3110849729951646,ok,feature_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,3,0.3786680410438471,ok,feature_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,4,0.3069194614274387,ok,feature_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,0,0.0108864077739631,ok,graph_permutation,"Projected
expression"
151507,expr_panel_projected_bin250kb,1,0.0037390990135979,ok,graph_permutation,"Projected
expression"
151507,expr_panel_projected_bin250kb,2,0.0020479355351878,ok,graph_permutation,"Projected
expression"
151507,expr_panel_projected_bin250kb,3,0.0009502499682693,ok,graph_permutation,"Projected
expression"
151507,expr_panel_projected_bin250kb,4,0.0080858152225194,ok,graph_permutation,"Projected
expression"
151507,expr_panel_projected_bin250kb,0,0.0657604488662779,ok,graph_topology_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,1,0.0868668656566105,ok,graph_topology_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,2,0.0637920521021328,ok,graph_topology_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,3,0.0990046381703173,ok,graph_topology_only,"Projected
expression"
151507,expr_panel_projected_bin250kb,4,0.0945900541493038,ok,graph_topology_only,"Projected
expression"
151507,depth_total_mech_bin250kb,0,0.3331840562915339,ok,correct_graph,"Total
depth"
151507,depth_total_mech_bin250kb,1,0.393132875589791,ok,correct_graph,"Total
depth"
151507,depth_total_mech_bin250kb,2,0.3712518828573373,ok,correct_graph,"Total
depth"
151507,depth_total_mech_bin250kb,3,0.448858663596374,ok,correct_graph,"Total
depth"
151507,depth_total_mech_bin250kb,4,0.4410609477111852,ok,correct_graph,"Total
depth"
151507,depth_total_mech_bin250kb,0,0.0718571525842921,ok,feature_only,"Total
depth"
151507,depth_total_mech_bin250kb,1,0.116600783432429,ok,feature_only,"Total
depth"
151507,depth_total_mech_bin250kb,2,0.1282822742524839,ok,feature_only,"Total
depth"
151507,depth_total_mech_bin250kb,3,0.109278457239428,ok,feature_only,"Total
depth"
151507,depth_total_mech_bin250kb,4,0.1433029118736796,ok,feature_only,"Total
depth"
151507,depth_total_mech_bin250kb,0,-0.0011187351903372,ok,graph_permutation,"Total
depth"
151507,depth_total_mech_bin250kb,1,0.0026921010855372,ok,graph_permutation,"Total
depth"
151507,depth_total_mech_bin250kb,2,-0.0013060136514006,ok,graph_permutation,"Total
depth"
151507,depth_total_mech_bin250kb,3,0.0016794291016337,ok,graph_permutation,"Total
depth"
151507,depth_total_mech_bin250kb,4,0.0023041216169545,ok,graph_permutation,"Total
depth"
151507,depth_total_mech_bin250kb,0,0.0657604488662779,ok,graph_topology_only,"Total
depth"
151507,depth_total_mech_bin250kb,1,0.0868668656566105,ok,graph_topology_only,"Total
depth"
151507,depth_total_mech_bin250kb,2,0.0637920521021328,ok,graph_topology_only,"Total
depth"
151507,depth_total_mech_bin250kb,3,0.0990046381703173,ok,graph_topology_only,"Total
depth"
151507,depth_total_mech_bin250kb,4,0.0945900541493038,ok,graph_topology_only,"Total
depth"
151507,matched_presence_mech_bin250kb,0,0.3768299722222891,ok,correct_graph,"Matched
presence"
151507,matched_presence_mech_bin250kb,1,0.2503375438937427,ok,correct_graph,"Matched
presence"
151507,matched_presence_mech_bin250kb,2,0.4114743460270174,ok,correct_graph,"Matched
presence"
151507,matched_presence_mech_bin250kb,3,0.3524551225242602,ok,correct_graph,"Matched
presence"
151507,matched_presence_mech_bin250kb,4,0.2518775007095978,ok,correct_graph,"Matched
presence"
151507,matched_presence_mech_bin250kb,0,0.0532719229374645,ok,feature_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,1,0.0597139426791879,ok,feature_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,2,0.0070136306457805,ok,feature_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,3,0.0662320325886477,ok,feature_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,4,0.0110848077110932,ok,feature_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,0,0.0005973797222085,ok,graph_permutation,"Matched
presence"
151507,matched_presence_mech_bin250kb,1,0.0037771803499596,ok,graph_permutation,"Matched
presence"
151507,matched_presence_mech_bin250kb,2,-0.0002433922353648,ok,graph_permutation,"Matched
presence"
151507,matched_presence_mech_bin250kb,3,0.0036397715308298,ok,graph_permutation,"Matched
presence"
151507,matched_presence_mech_bin250kb,4,0.0044369529671465,ok,graph_permutation,"Matched
presence"
151507,matched_presence_mech_bin250kb,0,0.0657604488662779,ok,graph_topology_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,1,0.0868668656566105,ok,graph_topology_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,2,0.0637920521021328,ok,graph_topology_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,3,0.0990046381703173,ok,graph_topology_only,"Matched
presence"
151507,matched_presence_mech_bin250kb,4,0.0945900541493038,ok,graph_topology_only,"Matched
presence"
